"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"6002";"";
"TraceParts.PartTitle";"Single row deep groove ball bearing, Bore Ø 15 mm, Outside Ø 32 mm";"";
"TraceParts.InstanceId";"10-21092016-0913775S26S85KFTX8FAX2GOYV14OQQ";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 15 mm, Outside Ø 32 mm";"";
"TraceParts.PartVersion";"1.3.2";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.0296";"";
