"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"50-23042019-061862";"";
"REFERENCE";"DG80-M16-L100-C1";"";
"LOAD";"1200";"";
"TraceParts.PartTitle";"Articulated feet DG80 DG80-M16-L100-C1";"";
"TraceParts.InstanceId";"50-23042019-0618629F47U69XUX6O3FWK7909PNE8U";"";
"DESIGN";"Articulated feet DG80 DG80-M16-L100-C1";"";
"SUPPLIER";"YA-VA Intelligent Systems Co., Ltd.";"";
"Weight";"0.34";"";
"TraceParts.PartVersion";"1.3.6";"";
"TraceParts.PartLanguage";"en";"";
